103
Ac 3.1 16.6 227.028
Ag 2.8 18.11 107.868
Al 4.01 254.09 26.982
Am 3.01 7.04 243.0
Ar 3.45 93.08 39.948
As 3.77 155.47 74.922
At 4.23 142.89 209.987
Au 2.93 19.62 196.967
B 3.64 90.57 10.811
Ba 3.3 183.15 137.328
Be 2.45 42.77 9.012
Bi 3.89 260.63 208.98
Bk 2.97 6.54 247.0
Br 3.73 126.29 79.904
C 3.43 52.83 12.011
Ca 3.03 119.75 40.078
Cd 2.54 114.72 112.414
Ce 3.17 6.54 140.116
Cf 2.95 6.54 251.079
Cl 3.52 114.21 35.453
Cm 2.96 6.54 247.0
Co 2.56 7.04 58.933
Cr 2.69 7.55 51.996
Cu 3.11 2.52 63.546
Cs 4.02 22.64 132.905
Dy 3.05 3.52 162.5
Eu 3.11 4.03 151.964
Er 3.02 3.52 167.259
Es 2.94 6.04 252.0
F 3.0 25.16 18.998
Fe 2.59 6.54 55.845
Fm 2.93 6.04 257.0
Fr 4.37 25.16 223.02
Ga 3.9 208.81 69.723
Ge 3.81 190.69 72.631
Gd 3.0 4.53 157.25
H 2.57 22.14 1.008
He 2.64 10.9 4.003
Hf 2.8 36.23 178.49
Hg 2.41 193.71 200.592
Ho 3.04 3.52 164.93
I 4.01 170.57 126.904
In 3.98 301.39 114.818
Ir 2.53 36.73 192.217
K 3.4 17.61 39.098
Kr 3.69 110.69 84.798
La 3.14 8.55 138.905
Li 2.18 12.58 6.941
Lu 3.24 20.63 174.967
Lr 2.88 5.53 262.0
Md 2.92 5.53 258.0
Mg 2.69 55.85 24.305
Mn 2.64 6.54 54.938
Mo 2.72 28.18 95.95
N 3.26 34.72 14.007
Na 2.66 15.09 22.99
Ne 2.66 21.13 20.18
Nb 2.82 29.69 92.906
Nd 3.18 5.03 144.243
No 2.89 5.53 259.0
Ni 2.52 7.55 58.693
Np 3.05 9.56 237.0
O 3.12 30.19 15.999
Os 2.78 18.62 190.23
P 3.69 153.46 30.974
Pa 3.05 11.07 231.036
Pb 3.83 333.59 207.2
Pd 2.58 24.15 106.42
Pm 3.16 4.53 144.913
Po 4.2 163.52 208.982
Pr 3.21 5.03 140.908
Pt 2.45 40.25 195.085
Pu 3.05 8.05 244.0
Ra 3.28 203.27 226.025
Rb 3.67 20.13 84.468
Re 2.63 33.21 186.207
Rh 2.61 26.67 102.906
Rn 4.25 124.78 222.081
Ru 2.64 28.18 101.07
S 3.59 137.86 32.066
Sb 3.94 225.91 121.76
Sc 2.94 9.56 44.956
Se 3.75 146.42 78.971
Si 3.83 202.27 28.086
Sm 3.14 4.03 150.36
Sn 3.91 285.28 118.711
Sr 3.24 118.24 87.62
Ta 2.82 40.75 180.948
Tb 3.07 3.52 158.925
Tc 2.67 24.15 98.907
Te 3.98 200.25 126.7
Th 3.03 13.08 232.038
Ti 2.83 8.55 47.867
Tl 3.87 342.14 204.383
Tm 3.01 3.02 168.934
U 3.02 11.07 238.029
V 2.8 8.05 50.942
W 2.73 33.71 183.84
Xe 3.92 167.04 131.294
Y 2.98 36.23 88.906
Yb 2.99 114.72 173.055
Zn 2.46 62.39 65.38
Zr 2.78 34.72 91.224
